Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C16, C17, C18, C3, C4, C6, C7, C9",0603,13,100nF,
"C11, C15, C5, C8",0603,4,0.1uF,
C2,CP_Radial_D5.0mm_P2.50mm,1,100uF,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J2,IDC-Header_2x05_P2.54mm_Vertical,1,AS,
J3,IDC-Header_2x05_P2.54mm_Vertical,1,JTAG_DEBUG,
R1,0603,1,330,
R2,0603,1,10,
"R3, R4, R5",0603,3,1K,
"RN1, RN10, RN2, RN3, RN4, RN5, RN6, RN7, RN8, RN9",R_Array_Convex_4x0603,10,330,
RN11,R_Array_Convex_4x0603,1,10K,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,TSOP-I-32_18.4x8mm_P0.5mm,1,AM29LV010B,
U3,SOT-223-3_TabPin2,1,AMS1117-1.5,
U4,SOIC127P600X175-8N,1,EPCS1SI8N,EPCS1SI8N
U5,QFP50P2200X2200X160-144N,1,EP1C3T144C8N,EP1C3T144C8N
U6,MODULE_ESP-01,1,ESP-01,
Y1,SG310SCN500000MJ3,1,SG-310SCN_50.0000MJ3,
